Site_name,EUNIS
op-1,T1E1
op-2,T1E1
akh-1,R1A
akh-2,T1E1
akh-3,T12
an-1,R42
an-2,R43
an-3,R43
an-4,T311
an-5,T311
an-6,T18
an-7,R43
an-8,T311
an-9,T18
an-10,T311
an-11,T311
akh-4,T1E1
akh-5,T17
akh-10,T17
akh-11,T17
an-12,T17
an-13,T17
aku-dc1,R1A
aku-dc2,R1A
aku-dc3,T1E1
aku-dc4,T1E1
aku-dc5,T1E1
aku-dc6,T1E1
aku-dc7,T1E1
aku-l1,T17
aku-l2,T17
aku-s1,T32
aku-s2,T32
aku-s3,T32
aku-s4,T32
aku-s5,T32
aku-s6,T32
aku-s7,T3N1
aku-s8,T32
aku-s9,T17
aku-s10,T3N1
aku-s11,T17
aku-s12,R55
aku-m1,T1E1
aku-m2,T1E1
aku-m3,T1E1
aku-m4,T1E1
aku-m5,T11
aku-m6,T11
aku-m7,T1E1
aku-m8,T35
aku-m9,R1A
aku-m10,R1A
aku-m11,R1A
aku-m12,T1E1
natbr-1,R63
natbr-2,R63
natbr-3,T199
natbr-4,T199
natbr-5,R1B
natbr-6,R1B
op-g-01,T1E1
op-g-02,R1A
omis-1,R22
omis-2,T1E4
omis-3,R1A
omis-4,R21
omis-5,T1E1
omis-6,T35
omis-7,R21
omis-8,T1E1
omis-9,T1E1
omis-10,T1E1
omis-11,T1B
omis-12,T1E1
omis-13,T35
dbzp01,T13
dbzp02,R11
dbzp03,T13
dbzp04,R1B
dbzp05,T11
dbzp06,R1B
dbzp07,R1B
db-zp-08,T199
dbzp09,T13
dbzp10,R11
dbzp11,T199
dbzp12,T199
dbsn01,T1E1
dbsn02,R22
dbsn03,R1A
dbsn04,T1E1
dbsn05,R65
dbsn06,T1E1
dbsn07,R1B
dbsn08,T199
dbsn09,R1B
dbsn10,R65
dbbg01,R22
dbbg02,T199
dbbg03,R36
dbbg04,T199
dbbg05,R16
dbbg06,R1B
dbbg07,T13
dbbg08,R1B
dbbg09,R16
dbbg10,R1B
dbbg11,T13
dbbg12,R16
dbbg13,T19
iviv-1,T19
iviv-2,R1
iviv-3,R1
apryl-1,T1J
apryl-2,T12
apryl-3,T1E1
apryl-4,R1
apryl-5,T1E1
apryl-6,V38
apryl-7,T1E1
apryl-8,T1E1
viter-1,R1A
viter-2,T1E1
viter-3,T35
viter-4,T1E1
viter-5,R1A
viter-6,S357
viter-7,T1C
viter-8,T1E1
viter-9,T35
viter-10,T35
viter-11,R1A
viter-12,T35
viter-13,R22
viter-14,R1A
viter-15,R11
natbr-7,T19
natbr-8,R63
apryl-9,R1A
apryl-10,R1A
apryl-11,T1E1
op-c1,T311
op-c2,T17
op-c3,T31
vmal-gl1,R1A
vmal-gg1,T1E1
vmal-gg2,T17
natbr-9,R1
natbr_ts1,R1B
natbr_ts2,R1B
ymak-1,T1E1
ymak-2,T1E1
ymak-3,T1E1
osboh-1,T17
osboh-2,T311
osboh-3,T1C
osboh-4,T34
dbzol01,T13
dbzol02,T35
dbzol03,T35
dbzol04,T35
dbzol05,R65
dbkn01,R11
dbkn02,R1A
dbkn03,T1E1
dbkn04,T11
dbkn05,T35
db-kn-06,T1B
dbkn07,T35
dbchg01,T1E
dbchg02,T1E
dbchg03,R1A
dbchg04,T11
dbchg05,T35
iviv-b1,R1
iviv-mx1,T1E
iviv-kakh,T11
iviv-oc1,R1
iviv-oc2,R1
volgr-1,T311
volgr-2,T311
volgr-3,R21
volgr-4,R21
mykpr-1,T1E
mykpr-2,T35
mykpr-3,T35
vmal-zh1,R2
vmal-pd1,R1A
mazyk-1,T35
mazyk-2,T123
mazyk-3,T3K32
mazyk-4,T1C
mazyk-5,T35
mazyk-6,R2
mazyk-7,T1E
mazyk-8,T1E
mazyk-9,T1E
mazyk-10,T35
mazyk-11,T35
mazyk-12,T35
mazyk-13,T35
mazyk-14,T1E
ymak-4,R1B
ypr-1,T123
ypr-2,T1H
ypr-3,T35
ypr-4,T1E
ypr-5,T1H
ypr-6,T1E
ypr-7,T13
ypr-8,T1E
ypr-9,R2
ypr-10,R2
ypr-11,R2
vitvj-1,T1E
vitvj-2,T1E
vitvj-3,T1E
vitvj-4,T1E
vitvj-5,R1A
vitvj-6,R1A
vitvj-7,R21
vitvj-8,T35
vitvj-9,T35
vitvj-10,V38
